Accession	Female_Parent	Male_Parent	Cross_Type
UNNAMED10356	LODI	MN 65B1286	biparental
UNNAMED10546	ILLINOIS30599	UNNAMED10555	biparental
UNNAMED10548	CHEROKEE	ARKANSAS674_2-39F	biparental
UNNAMED10549	PUTNAM	MINN313	biparental
UNNAMED10550	PUTNAM	UNNAMED10549	biparental
UNNAMED10551	PUTNAM	UNNAMED10550	biparental
UNNAMED10552	PUTNAM	UNNAMED10551	biparental
UNNAMED10553	PUTNAM	UNNAMED10552	biparental
UNNAMED10554	UNNAMED10556	UNNAMED10557	biparental
UNNAMED10555	UNNAMED10553	UNNAMED10554	biparental
UNNAMED10556	UNNAMED10553	UNNAMED10559	biparental
UNNAMED10557	UNNAMED10553	UNNAMED10558	biparental
UNNAMED10558	UNNAMED10553	ALBION|PI125176	biparental
UNNAMED10559	MINHAFER	UNNAMED10560	biparental
UNNAMED10560	MO0-205|CIAV5323	UNNAMED10561	biparental
UNNAMED10561	PURDUE5124A6-4	UNNAMED10562	biparental
UNNAMED10562	PURDUE5124A6-4	UNNAMED10563	biparental
UNNAMED10563	UNNAMED10564	UNNAMED10565	biparental
UNNAMED10564	PURDUE5124A6-4	UNNAMED10566	biparental
UNNAMED10565	PURDUE5124A6-4	UNNAMED7461	biparental
UNNAMED10566	RL2105	UNNAMED5397	biparental
UNNAMED10567	RL1273	UNNAMED10568	biparental
UNNAMED10568	UNNAMED8232	ROXTON|PI290072	biparental
UNNAMED10570			
UNNAMED10760	SD89507	SD91008	biparental
UNNAMED10923	KHERSON|PI80220	LIBERTY|CIAV2266	biparental
UNNAMED10992	CLINTON59	LANDHAFER|CIAV7005	biparental
UNNAMED11598	IL75-5667	OGLE	biparental
UNNAMED11727	PENDEK|CIAV7801	ME1563	biparental
UNNAMED11728	CORONADO	Cortex	biparental
UNNAMED12894	Perle	STJARN|PI134720	biparental
UNNAMED13251	FULGHUM|CORE	FULGHUM|CORE	biparental
UNNAMED14643	HAJIRA	BANNER|CIAV806	biparental
UNNAMED14860	OT174	UNNAMED5365	biparental
UNNAMED16640	BLACK_MESDAG|PI93284	AB101	biparental
UNNAMED18345	M921	OT224	biparental
UNNAMED18350	SUN_II|PI428349	UNNAMED18357	biparental
UNNAMED18351	SUN_II|PI428349	UNNAMED18350	biparental
UNNAMED18352	SUN_II|PI428349	UNNAMED18351	biparental
UNNAMED18353	SUN_II|PI428349	UNNAMED18352	biparental
UNNAMED18354	SUN_II|PI428349	UNNAMED18353	biparental
UNNAMED18355	DUMONT	S42	biparental
UNNAMED18356	DUMONT	UNNAMED18355	biparental
UNNAMED18357	SUN_II|PI428349	RL1697	biparental
UNNAMED18579	DAL	Ab71-36	biparental
UNNAMED18580	UNNAMED18579	MARVELOUS	biparental
UNNAMED18581	UNNAMED18580	UNNAMED8126	biparental
UNNAMED18582	UNNAMED18581	SETTLER	biparental
UNNAMED18584	WI-14	SPEAR	biparental
UNNAMED18586	SD6422	KELSEY	biparental
UNNAMED18587	UNNAMED18584	UNNAMED18586	biparental
UNNAMED20943	SESQUI	BETTONG	biparental
UNNAMED20999	SESQUI	UNNAMED20943	biparental
UNNAMED2450	SIBERIAN|CIAV5908	JOANETTE|CIAV1880	biparental
UNNAMED2566	BEAVER|CIAV4521	GARRY|CIAV6662	biparental
UNNAMED2568	AJAX|PI290071	RL1276	biparental
UNNAMED2585	M23	OT201	biparental
UNNAMED2586	FROKER	OT201	biparental
UNNAMED2588	UNNAMED2586	HUDSON|CIAV9205	biparental
UNNAMED2592	D-BLK	FERTILE_TWIN_SMALL4	biparental
UNNAMED2618	UNNAMED6710	ANDREW	biparental
UNNAMED2619	FULGHUM|CORE	VICTORIA|CIAV7002	biparental
UNNAMED336	TYLER	EGDOLON23	biparental
UNNAMED3982			
UNNAMED3985	PI183989	PUTNAM	biparental
UNNAMED4009	UNNAMED7441	UNNAMED3985	biparental
UNNAMED4010	UNNAMED4009	CLINTFORD	biparental
UNNAMED4011	CLINTFORD	UNNAMED4010	biparental
UNNAMED4021	CLINTLAND60	MO0-205|CIAV5323	biparental
UNNAMED4025			
UNNAMED4027	BLACK_MESDAG|PI93284	SIXTY_DAY|CIAV1887	biparental
UNNAMED4029	GREAT_NORTHERN|PI21389	CORNELLIAN	biparental
UNNAMED4050	ORBIT	ILLINOIS62-3834	biparental
UNNAMED4851	VICTORIA_ARGENTINA	RAINBOW	biparental
UNNAMED4852	GOLDWIN	UNNAMED4851	biparental
UNNAMED4854	OT606	UNNAMED6727	biparental
UNNAMED4856	UNNAMED10165	BLACK_MESDAG|PI93284	biparental
UNNAMED4859	GARRY|CIAV6662	CEIRCH_DU_BACH	biparental
UNNAMED4871	OT606	UNNAMED4854	biparental
UNNAMED4877	HAWKEYE	VICTORIA_ARGENTINA	biparental
UNNAMED4878	PURDUE5124A6-4	MILFORD|PI269147	biparental
UNNAMED4882	N569-42-51	FROKER	biparental
UNNAMED5184	RODNEY|PI290100	MILFORD|PI269147	biparental
UNNAMED5193	CLINTLAND60	OA48-54	biparental
UNNAMED5194	MARNE|PI290059	UNNAMED6453	biparental
UNNAMED5196	CIav 7692 (U of Wisconsin )	RODNEY|PI290100	biparental
UNNAMED5197	PENDEK|CIAV7801	LODI	biparental
UNNAMED5201	UNNAMED5196	OT174	biparental
UNNAMED5202	UNNAMED5201	HUDSON|CIAV9205	biparental
UNNAMED5232	OTEE	UNNAMED4011	biparental
UNNAMED5246	UNNAMED5248	SUN_II|PI428349	biparental
UNNAMED5248	CAV4904	SUN_II|PI428349	biparental
UNNAMED5254	CLINTON59	UNNAMED5255	biparental
UNNAMED5255	CLINTON59	UNNAMED5256	biparental
UNNAMED5256	CLINTON59	UNNAMED5257	biparental
UNNAMED5257	CLINTON59	UNNAMED5258	biparental
UNNAMED5258	CLINTON59	UNNAMED10992	biparental
UNNAMED5261	MAKURU	UNNAMED5246	biparental
UNNAMED5270	RODNEY|PI290100	EXETER|CIAV6542	biparental
UNNAMED5271	RODNEY|PI290100	UNNAMED5270	biparental
UNNAMED5272	RODNEY|PI290100	UNNAMED5271	biparental
UNNAMED5273	RODNEY|PI290100	UNNAMED5272	biparental
UNNAMED5294	RODNEY|PI290100	JOSTRAIN	biparental
UNNAMED5295	RODNEY|PI290100	UNNAMED5294	biparental
UNNAMED5296	RODNEY|PI290100	UNNAMED5295	biparental
UNNAMED5297	RODNEY|PI290100	UNNAMED5296	biparental
UNNAMED5298	RODNEY|PI290100	UNNAMED5297	biparental
UNNAMED5307	MINNESOTA70B2203-2205	UNNAMED5232	biparental
UNNAMED5308	D-137|PI287226	D-137|PI287226	biparental
UNNAMED5310	UNNAMED6722	DUMONT	biparental
UNNAMED5326	Avena sterilis L. (CW490-2)	Rodney O	biparental
UNNAMED5327	UNNAMED5326	Rodney O	biparental
UNNAMED5328	OT183	UNNAMED5327	biparental
UNNAMED5329	OT183	UNNAMED5328	biparental
UNNAMED5332	OT184	Rodney HAM	biparental
UNNAMED5333	OT184	UNNAMED5332	biparental
UNNAMED5334	OT184	UNNAMED5333	biparental
UNNAMED5335	OT184	UNNAMED5334	biparental
UNNAMED5346	RODNEY|PI290100	UNNAMED5361	biparental
UNNAMED5352	MINDO	CI 4023 (Howes, 1992)	biparental
UNNAMED5353	LANDHAFER|CIAV7005	UNNAMED5352	biparental
UNNAMED5354	KENT|PI265445	PC38PC39	biparental
UNNAMED5355	OT189	HARMON_HAM	biparental
UNNAMED5358	RODNEY|PI290100	II-50-104	biparental
UNNAMED5359	RODNEY|PI290100	UNNAMED5358	biparental
UNNAMED5360	RODNEY|PI290100	UNNAMED5359	biparental
UNNAMED5361	RODNEY|PI290100	UNNAMED5360	biparental
UNNAMED5363	OT174	UNNAMED5196	biparental
UNNAMED5364	OT174	UNNAMED5363	biparental
UNNAMED5365	OT174	UNNAMED5364	biparental
UNNAMED5366	Rosens Mutant	RODNEY|PI290100	biparental
UNNAMED5367	KELSEY	UNNAMED5366	biparental
UNNAMED5368	KELSEY	UNNAMED5367	biparental
UNNAMED5369	KELSEY	UNNAMED5368	biparental
UNNAMED5370	KELSEY	UNNAMED5369	biparental
UNNAMED5371	KELSEY	UNNAMED5370	biparental
UNNAMED5372	HARMON	UNNAMED5366	biparental
UNNAMED5373	HARMON	UNNAMED5372	biparental
UNNAMED5374	HARMON	UNNAMED5373	biparental
UNNAMED5375	HARMON	UNNAMED5374	biparental
UNNAMED5376	HARMON	UNNAMED5375	biparental
UNNAMED5378	OT187	KENT|CIAV3909	biparental
UNNAMED5380	RL1273	AJAX|PI290071	biparental
UNNAMED5391	KHC-R-48	MINHAFER	biparental
UNNAMED5397	CLINTON|CIAV3971	PURDUE3714A4-7-5	biparental
UNNAMED5410			
UNNAMED5457	CLINTFORD	BLUNT_SPIKE_PORTAL	biparental
UNNAMED5458	IL75-5667	OGLE	biparental
UNNAMED5461	CORNELL_GARRY_SELECTION5	UNNAMED4852	biparental
UNNAMED5472	UNNAMED9131	RL800	biparental
UNNAMED5473	MINN313	ALBION|PI125176	biparental
UNNAMED5482	GA85	UNNAMED5193	biparental
UNNAMED5495	UNNAMED826	MINHAFER	biparental
UNNAMED5496	ARLINGTON	DELAIR	biparental
UNNAMED5514			
UNNAMED5517	UNNAMED8874	BLACK_WINTER	biparental
UNNAMED5520	GOLDFINDER|CIAV2793	BLACK_TARTAR|PI48085	biparental
UNNAMED5570	ROXTON|PI290072	RL1273	biparental
UNNAMED570	VICTORY|PI78588	VICTORIA|CIAV7002	biparental
UNNAMED5795			
UNNAMED6076			
UNNAMED6137	C.w.491-4	PENDEK|CIAV7801	biparental
UNNAMED6138	UNNAMED6137	PENDEK|CIAV7801	biparental
UNNAMED6139	UNNAMED6138	PENDEK|CIAV7801	biparental
UNNAMED6140	CAV5165	PENDEK|CIAV7801	biparental
UNNAMED6141	UNNAMED6140	PENDEK|CIAV7801	biparental
UNNAMED6142	UNNAMED6141	PENDEK|CIAV7801	biparental
UNNAMED6164	GARLAND	CI8081	biparental
UNNAMED6172	NOBLE	06880	biparental
UNNAMED6221	IOWA295-1	UNNAMED6226	biparental
UNNAMED6222	SAC	RL800	biparental
UNNAMED6223	SANTA_FE|CIAV7051	CLINTON|CIAV3971	biparental
UNNAMED6224	UNNAMED6223	CLINTON|CIAV3971	biparental
UNNAMED6226	NEW_NORTEX	LANDHAFER|CIAV7005	biparental
UNNAMED6232	BLACK_TARTAR|PI48085	WHITE_TARTAR|CIAV1614	biparental
UNNAMED6248	UNNAMED2566	CLINTON|CIAV3971	biparental
UNNAMED6306	TRISPERNIA|CIAV7008	BELAR|PI80718	biparental
UNNAMED6313	MINDO	RL800	biparental
UNNAMED6315	ARLINGTON	DELAIR	biparental
UNNAMED6318	FLORIDA167	VICTORGRAIN|CIAV5353	biparental
UNNAMED6332			
UNNAMED6338	COLUMBIA	MARION|CIAV3247	biparental
UNNAMED6396	OGLE	MO07468	biparental
UNNAMED6401	IOGOLD	BOND|PI80229	biparental
UNNAMED6409	WI_X2221-2	NOBLE	biparental
UNNAMED6422	CLINTLAND	MINN313	biparental
UNNAMED6424	CLINTLAND	UNNAMED10354	biparental
UNNAMED6425	CLINTLAND	UNNAMED6424	biparental
UNNAMED6453	UNNAMED6248	CLINTLAND	biparental
UNNAMED6460	UNNAMED6313	ANDREW	biparental
UNNAMED6461	MINNESOTA_M-2	OA46	biparental
UNNAMED6462	UNNAMED6461	UNNAMED16640	biparental
UNNAMED6468	FROKER	STORMONT	biparental
UNNAMED6492	UNNAMED5397	RL2107	biparental
UNNAMED6493	PURDUE5124A6-4	UNNAMED6492	biparental
UNNAMED6494	LANDHAFER|CIAV7005	UNNAMED6493	biparental
UNNAMED6495	PURDUE5124A6-4	UNNAMED6494	biparental
UNNAMED6496	04348	UNNAMED6495	biparental
UNNAMED6497	CLINTLAND	UNNAMED6425	biparental
UNNAMED6498	UNNAMED6497	CEIRCH_DU_BACH	biparental
UNNAMED6499	TYLER	UNNAMED6498	biparental
UNNAMED6500	UNNAMED6496	UNNAMED6499	biparental
UNNAMED6502	CLINTON|CIAV3971	SANTA_FE|CIAV7051	biparental
UNNAMED6503	CLINTON|CIAV3971	UNNAMED6502	biparental
UNNAMED6518	PENDEK|CIAV7801	C.w.491-4	biparental
UNNAMED6519	PENDEK|CIAV7801	UNNAMED6518	biparental
UNNAMED6520	RODNEY|PI290100	RL2942	biparental
UNNAMED6528	RODNEY|PI290100	UNNAMED6520	biparental
UNNAMED6529	RODNEY|PI290100	UNNAMED6528	biparental
UNNAMED6530	RODNEY|PI290100	UNNAMED6529	biparental
UNNAMED6531	SES_SEL52	UNNAMED6530	biparental
UNNAMED6532	UNNAMED6519	UNNAMED6531	biparental
UNNAMED6533	CAV2647	RODNEY|PI290100	biparental
UNNAMED6535	UNNAMED6533	RODNEY|PI290100	biparental
UNNAMED6538	OT182	UNNAMED6535	biparental
UNNAMED6609	OT201	GOODLAND	biparental
UNNAMED6620	HUDSON|CIAV9205	LANG	biparental
UNNAMED6644	OT201	KELSEY	biparental
UNNAMED6645	M22	KELSEY	biparental
UNNAMED6650	UNNAMED6306	GOODFIELD	biparental
UNNAMED6671	OT201	DAL	biparental
UNNAMED6697	UNNAMED6164	UNNAMED6700	biparental
UNNAMED6700	MN836	AVON	biparental
UNNAMED6705	MO06425	IL75-1264	biparental
UNNAMED6707	MO 06328	UNNAMED5307	biparental
UNNAMED6710	LANDHAFER|CIAV7005	UNNAMED6313	biparental
UNNAMED6717	BRANCH	UNNAMED6503	biparental
UNNAMED6719	NOBLE	TEXAS46-44-266	biparental
UNNAMED6721	UNNAMED2618	ANDREW	biparental
UNNAMED6722	UNNAMED7256	MOORE	biparental
UNNAMED6723	GARRY|CIAV6662	UNNAMED4859	biparental
UNNAMED6727	OT606	UNNAMED6723	biparental
UNNAMED6772	FL500	UNNAMED6842	biparental
UNNAMED6786	MOREGRAIN	MILFORD_SELECTION	biparental
UNNAMED6800	CLINTON|CIAV3971	ARKANSAS674_2-39F	biparental
UNNAMED6842	WOODGRAIN	STILLWATER553506	biparental
UNNAMED6854	SUREGRAIN	D94	biparental
UNNAMED6855	SUREGRAIN	UNNAMED6854	biparental
UNNAMED6857	UNNAMED6772	UNNAMED6786	biparental
UNNAMED6860	ANDREW	LANDHAFER|CIAV7005	biparental
UNNAMED6895	COKER32-1	SELECTION5562	biparental
UNNAMED6916	ASCENSAO	FAYETTE	biparental
UNNAMED6921	Clintfield	WI_X421-5-2	biparental
UNNAMED6922	UNNAMED6916	UNNAMED6921	biparental
UNNAMED6923	GOODFIELD	SIMONS58-241-26	biparental
UNNAMED6924	UNNAMED6922	UNNAMED6923	biparental
UNNAMED6925	RICHLAND|CIAV787	GREEN_RUSSIAN|CIAV4684	biparental
UNNAMED6948	KELSEY	DAL	biparental
UNNAMED6957	UNNAMED2585	OTANA	biparental
UNNAMED7001	OT183	UNNAMED7028	biparental
UNNAMED7006	PC68	DUMONT	biparental
UNNAMED7007	UNNAMED7006	DUMONT	biparental
UNNAMED7008	UNNAMED7007	DUMONT	biparental
UNNAMED7009	UNNAMED7008	DUMONT	biparental
UNNAMED7010	UNNAMED7009	DUMONT	biparental
UNNAMED7012	PC68	ROBERT	biparental
UNNAMED7013	UNNAMED7012	ROBERT	biparental
UNNAMED7014	UNNAMED7013	ROBERT	biparental
UNNAMED7015	UNNAMED7014	ROBERT	biparental
UNNAMED7016	UNNAMED7015	ROBERT	biparental
UNNAMED7018	SES_SEL52	Rodney O	biparental
UNNAMED7019	UNNAMED7018	Rodney O	biparental
UNNAMED7020	UNNAMED7019	Rodney O	biparental
UNNAMED7021	UNNAMED7020	Rodney O	biparental
UNNAMED7023	UNNAMED7021	Rodney ABDHCR	biparental
UNNAMED7025	UNNAMED7023	Pc38	biparental
UNNAMED7026	Pc39	UNNAMED7001	biparental
UNNAMED7027	UNNAMED5327	OT182	biparental
UNNAMED7028	OT183	UNNAMED7027	biparental
UNNAMED7035	OT183	UNNAMED6538	biparental
UNNAMED7045	OT183	UNNAMED7035	biparental
UNNAMED7046	PENDEK|CIAV7801	CAV5165	biparental
UNNAMED7051	UNNAMED6719	UNNAMED6707	biparental
UNNAMED7052	PENDEK|CIAV7801	UNNAMED7046	biparental
UNNAMED7055	UNNAMED7052	UNNAMED7045	biparental
UNNAMED7068	TEXAS46-44-266	GARLAND	biparental
UNNAMED7075	IL74-5234	IL75-5662	biparental
UNNAMED7080	COKER227	CLINTFORD	biparental
UNNAMED7086	STOUT	NY5832-4	biparental
UNNAMED7087	EGDOLON26	CLINTFORD	biparental
UNNAMED7089	COKER227	CD3737	biparental
UNNAMED7091	TYLER	ORBIT	biparental
UNNAMED7102	NOBLE	STOUT	biparental
UNNAMED7188	PUTNAM	UNNAMED7199	biparental
UNNAMED7189	PUTNAM	UNNAMED7188	biparental
UNNAMED7193	PUTNAM	UNNAMED7189	biparental
UNNAMED7194	MINN313	UNNAMED5473	biparental
UNNAMED7196	LEE|POGI	VICTORIA|CIAV7002	biparental
UNNAMED7199	PUTNAM	UNNAMED7194	biparental
UNNAMED7207	DAL	UNNAMED7209	biparental
UNNAMED7208	PUTNAM	UNNAMED7193	biparental
UNNAMED7209	MN67231	UNNAMED7210	biparental
UNNAMED7210	DIANA	6-434-S67-AB-3416	biparental
UNNAMED7212	RL1276	ROXTON|PI290072	biparental
UNNAMED7214	UNNAMED7212	UNNAMED2568	biparental
UNNAMED7215	CLINTON|CIAV3971	BOND|PI80229	biparental
UNNAMED7216	UNNAMED7215	KHC-R-48	biparental
UNNAMED7219	CLINTON|CIAV3971	UNNAMED6800	biparental
UNNAMED7220	UNNAMED7219	MILFORD|PI269147	biparental
UNNAMED7256	NODAWAY70	DAL	biparental
UNNAMED7266	OT606	UNNAMED4871	biparental
UNNAMED7270	UNNAMED7266	UNNAMED7272	biparental
UNNAMED7272	OT606	II-50-104	biparental
UNNAMED7273	ALLEN	UNNAMED7102	biparental
UNNAMED7279	AVON	UNNAMED5184	biparental
UNNAMED7362	NOBLE	IOWA_X434-II	biparental
UNNAMED7363	P72288RB1-3-4-3	UNNAMED7086	biparental
UNNAMED7364	UNNAMED7273	UNNAMED7365	biparental
UNNAMED7365	LANG	UNNAMED7363	biparental
UNNAMED7366	UNNAMED7051	UNNAMED7364	biparental
UNNAMED7441	UNNAMED3982	PURDUE5124A6-4	biparental
UNNAMED7447	Shield sib	UNNAMED7216	biparental
UNNAMED7448	CLINTON|CIAV3971	UKRAINE|CIAV7007	biparental
UNNAMED7450	CLINTON|CIAV3971	UNNAMED7448	biparental
UNNAMED7451	MILFORD|PI269147	UNNAMED7450	biparental
UNNAMED7452	CLINTON|CIAV3971	LANDHAFER|CIAV7005	biparental
UNNAMED7453	CLINTON|CIAV3971	UNNAMED7452	biparental
UNNAMED7454	CLINTON|CIAV3971	UNNAMED7453	biparental
UNNAMED7455	CLINTON|CIAV3971	UNNAMED7454	biparental
UNNAMED7456	CLINTON|CIAV3971	UNNAMED7455	biparental
UNNAMED7457	CLINTON|CIAV3971	UNNAMED7456	biparental
UNNAMED7458	CLINTON|CIAV3971	UNNAMED7457	biparental
UNNAMED7459	UNNAMED7458	UNNAMED7458	biparental
UNNAMED7461	RL2120	UNNAMED5397	biparental
UNNAMED7462	UNNAMED7458	UNNAMED7461	biparental
UNNAMED7463	CLINTLAND64	MINN313	biparental
UNNAMED7464	CLINTLAND64	UNNAMED7463	biparental
UNNAMED7465	CLINTLAND64	UNNAMED7464	biparental
UNNAMED7466	UNNAMED7459	UNNAMED7462	biparental
UNNAMED7467	UNNAMED9129	UNNAMED7466	biparental
UNNAMED7468	UNNAMED7467	UNNAMED5397	biparental
UNNAMED7469	CLINTLAND64	UNNAMED7468	biparental
UNNAMED7470	UNNAMED7469	UNNAMED7465	biparental
UNNAMED7471	UNNAMED7451	UNNAMED7470	biparental
UNNAMED7583	MULGA|PI88516	LAGGAN|PI79348	biparental
UNNAMED7844	RODNEY|PI290100	UNNAMED5308	biparental
UNNAMED7845	RODNEY|PI290100	UNNAMED7844	biparental
UNNAMED7846	RODNEY|PI290100	UNNAMED7845	biparental
UNNAMED7847	RODNEY|PI290100	UNNAMED7846	biparental
UNNAMED7854	OT184	TIBOR	biparental
UNNAMED7906	BEACON	GARRY|CIAV6662	biparental
UNNAMED8039	NOBLE	NODAWAY70	biparental
UNNAMED8040	WI_X2221-2	UNNAMED8039	biparental
UNNAMED8045	MN77151	OGLE	biparental
UNNAMED8126	SPEAR	KELSEY	biparental
UNNAMED8232	VICTORY|PI78588	HAJIRA	biparental
UNNAMED826	ALBION|PI125176	NEWTON	biparental
UNNAMED8351	4229-960	BEAVER|CIAV4521	biparental
UNNAMED8874	WINTER_TURF|CORE	ABUNDANCE|CIAV2038	biparental
UNNAMED9123	CLINTLAND64	LANDHAFER|CIAV7005	biparental
UNNAMED9124	CLINTLAND64	UNNAMED9123	biparental
UNNAMED9125	CLINTLAND64	UNNAMED9124	biparental
UNNAMED9126	CLINTLAND64	UNNAMED9125	biparental
UNNAMED9127	CLINTLAND64	UNNAMED9126	biparental
UNNAMED9128	CLINTLAND64	UNNAMED9127	biparental
UNNAMED9129	CLINTLAND64	UNNAMED9128	biparental
UNNAMED9131	BOND|PI80229	RAINBOW	biparental
UNNAMED9135	RL1273	UNNAMED8232	biparental
UNNAMED9199	CLINTON|CIAV3971	OVERLAND	biparental
UNNAMED9206	PURDUE422A1-48-3-2-6	RL2105	biparental
UNNAMED9207	PURDUE5124A6-4	UNNAMED9206	biparental
UNNAMED9208	PURDUE5124A6-4	UNNAMED9207	biparental
UNNAMED9209	PURDUE5124A6-4	UNNAMED9208	biparental
UNNAMED9210	PURDUE5124A6-4	UNNAMED9209	biparental
UNNAMED9214	CLINTLAND	UNNAMED9210	biparental
UNNAMED9216	CLINTON59	GRAY_ALGERIAN|PI183106	biparental
UNNAMED9217	CLINTON59	UNNAMED9216	biparental
UNNAMED9218	CLINTON59	UNNAMED9217	biparental
UNNAMED9219	CLINTON59	UNNAMED9218	biparental
UNNAMED9220	CLINTON59	UNNAMED9219	biparental
UNNAMED9221	CLINTON59	UNNAMED9220	biparental
UNNAMED9222	CLINTLAND	UNNAMED9221	biparental
UNNAMED9242	P79103B1-7-2	Iowa H728	biparental
UNNAMED9360	AVON	RODNEY|PI290100	biparental
UNNAMED9479	II-54-2	Ab. 5088	biparental
VALLEY	UNNAMED2588	PORTER	biparental
VANGUARD|PI128164	HAJIRA	BANNER|CIAV806	biparental
VICLAND	VICTORIA|CIAV7002	RICHLAND|CIAV787	biparental
VICTORGRAIN|CIAV5353	VICTORIA|CIAV7002	FULGRAIN|POGI	biparental
VICTORIA_ARGENTINA			
VICTORIA|CIAV7002			
VICTORY|PI78588			
VISTA	UNNAMED6396	CENTENNIAL	biparental
Von Lochow's Gelbhafer	Markische Landsorte	Markische Landsorte	biparental
W78408	RL3056	UNNAMED7854	biparental
W80-20	M51	RL3057	biparental
W82481	OT222	W78408	biparental
WAHL8			
WARRIOR	SD041405	SD060130	biparental
Webb's Stopp King			
WHITE_CANADIAN			
WHITE_RUSSIAN|CIAV551			
WHITE_TARTAR|CIAV1614			
WI-14			
Winter	WINTER_TURF|CORE	WINTER_TURF|CORE	biparental
WINTER_TURF|CIAV362	strain of Winter Turf	strain of Winter Turf	biparental
WINTER_TURF|CORE			
WI_X10642-3	WI_X9487-1	WI_X9221-8	biparental
WI_X10680-3	WI_X9649-2	DEON	biparental
WI_X10710-7	WI_X9865-2	DEON	biparental
WI_X1266-3	UNNAMED6650	GOODFIELD	biparental
WI_X1289	WI_X660	BEEDEE	biparental
WI_X1961-1	SA23	GARLAND	biparental
WI_X219-3	FORWARD	SELECTION5544-3	biparental
WI_X2221-2	WI_X1289	ORBIT	biparental
WI_X2977-1	LODI	WI_X1289	biparental
WI_X3530-47	N569-42-51	FROKER	biparental
WI_X3969-2	UNNAMED6924	WI_X3530-47	biparental
WI_X4033-2	N569-42-51	NOBLE	biparental
WI_X421-5-2	GARRY|CIAV6662	UNNAMED4877	biparental
WI_X436-8	BEACON	UNNAMED4877	biparental
WI_X6051	MO07468	UNNAMED4882	biparental
WI_X6178-7			
WI_X6356-1	MN5250	OGLE	biparental
WI_X6396-1			
WI_X643-33	CLINTLAND	WI_X421-5-2	biparental
WI_X6465-3			
WI_X652	KHC-R-48	CLINTLAND	biparental
WI_X660	BELAR|PI80718	TRISPERNIA|CIAV7008	biparental
WI_X6865-8			
WI_X7096-1	DANE	OA698-2	biparental
WI_X7541-3			
WI_X8163-1	BAY	WI_X6356-1	biparental
WI_X8191-2	WI_X6178-7	WI_X6396-1	biparental
WI_X8191-5	WI_X6178-7	WI_X6396-1	biparental
WI_X8402-2	JERRY	TROY	biparental
WI_X8536-1	WI_X7096-1	BELLE	biparental
WI_X8583-1	MN93129	DANE	biparental
WI_X8789-1	WI_X7541-3	WI_X6865-8	biparental
WI_X9221-8	WI_X8163-1	SOURIS	biparental
WI_X9487-1	WI_X8402-2	WI_X8191-5	biparental
WI_X9649-2	WI_X8583-1	WI_X8191-2	biparental
WI_X9865-2	WI_X8789-1	WI_X8536-1	biparental
WOODGRAIN			
ZANSTER			
ZONNE_II	STJARN|PI134720	ORN|PI197720	biparental
