Accession	Female_Parent	Male_Parent	Cross_Type
CLINTLAND64	UNNAMED6497	UNNAMED9222	biparental
CLINTON59	UNNAMED6925	BOND|PI80229	biparental
CLINTON|CIAV3971	Iowa No. D69	BOND|PI80229	biparental
COACHMAN	MARNE|PI290059	UNNAMED5194	biparental
COKER227	UNNAMED6857	UNNAMED6855	biparental
COKER234	UNNAMED6857	UNNAMED6855	biparental
COKER32-1	VICTORIA|CIAV7002	RICHLAND|CIAV787	biparental
COLO	HANCOCK	UNNAMED10161	biparental
COLT	LEANDA	Titan	biparental
COLUMBIA	offtype plant selection from Fulghum	offtype plant selection from Fulghum	biparental
CONDOR|PI339823	MINOR|PI158196	EXPRESS	biparental
CORNELL_GARRY_SELECTION5	UNNAMED570	UNNAMED14643	biparental
CORNELLIAN	CANADA_CLUSTER|CIAV999	CANADA_CLUSTER|CIAV999	biparental
CORNELL_SMUT_RESISTANT_NO5	UNNAMED4025	UNNAMED4027	biparental
CORONADO	UNNAMED6221	CI7650	biparental
CORRAL	IL95-4774	IL95-8346	biparental
Cortex			
CROWN|CIAV2497			
C.w.491-4			
D-137|PI287226			
D94			
DAL	WI_X660	BEEDEE	biparental
DANE	WI_X3530-47	OGLE	biparental
D-BLK			
DC739-7			
DELAIR	FULGHUM|CORE	BOND|PI80229	biparental
DEON	UNNAMED20999	MN02108	biparental
DIANA	Purdue 549B3-1-1	PURDUE543C2-132P	biparental
DON	COKER234	UNNAMED4050	biparental
DONALD	00072-3-5	OA123-124	biparental
DORVAL	AJAX|PI290071	SHEFFORD	biparental
DOUBLE_CROSS7	UNNAMED5354	UNNAMED5355	biparental
DUMONT	HARMON_HAM	DOUBLE_CROSS7	biparental
EARLY_BURT|CIAV3061	BURT|CIAV2684	BURT|CIAV2684	biparental
EARLY_RIPE|CIAV2803			
EARLY_TRIUMPH			
EGDOLON23	ASTRO	SCOTLAND_CLUB	biparental
EGDOLON26	ASTRO	SCOTLAND_CLUB	biparental
EKO	KYTO|CIAV8251	STJARN|PI134720	biparental
ERBAN|CIAV5337	BANNER|CIAV806	EARLY_RIPE|CIAV2803	biparental
ESKER	JIM	GEM	biparental
EXCEL			
EXETER|CIAV6542	VICTORY|PI78588	RUSOTA	biparental
EXPRESS	MN98244	MANSHOLT_III|PI56892	biparental
FAYETTE	VICLAND	UNNAMED6717	biparental
FERTILE_TWIN_SMALL4			
FIDLER|CIAV9391	RANDOM	RL3013	biparental
Finnish land variety			
FL500			
FLAMINGSGOLD|PI197708	Von Lochow's Gelbhafer	Blanche de Siberie	biparental
FLORIDA167	BOND|PI80229	FULGHUM|CORE	biparental
FORKEDEER	UNNAMED13251	UNNAMED13251	biparental
FORVIC	FORWARD	SELECTION5544-3	biparental
FORWARD	SILVERMINE|CIAV1111	SILVERMINE|CIAV1111	biparental
FRENCH_BLACK			
FROKER	PEP34-39-1-2	WI_X643-33	biparental
FULGHUM|CORE	RED_RUSTPROOF|CIAV1451	RED_RUSTPROOF|CIAV1451	biparental
FULGRAIN|POGI	BIG_BOY	NAVARRO	biparental
FULTEX	FULGHUM|CORE	VICTORIA|CIAV7002	biparental
FULWIN	UNNAMED13251	UNNAMED13251	biparental
GA85	GARRY|CIAV6662	SIMCOE	biparental
GARLAND	CLINTLAND	WI_X421-5-2	biparental
GARRY|CIAV6662	RL1273	VICTORY|PI78588	biparental
Garry Sel. 5	RL1273	VICTORY|PI78588	biparental
Gartons Forward			
GEM	WI_X6051	OGLE	biparental
GEMINI			
GLEN	AJAX|PI290071	ROXTON|PI290072	biparental
GOLDFINDER|CIAV2793	UNNAMED5514	Winter	biparental
GOLDWIN	UNNAMED4029	CORNELL_SMUT_RESISTANT_NO5	biparental
GOLIATH			
GOODFIELD	CLINTLAND	WI_X421-5-2	biparental
GOODLAND	WI_X1266-3	GARLAND	biparental
GOPHER	SIXTY_DAY|CIAV1887	SIXTY_DAY|CIAV1887	biparental
GRAY_ALGERIAN|PI183106			
GREAT_NORTHERN|PI21389			
GREEN_RUSSIAN|CIAV4684			
GULDREGN	Milton (Sweden)	Milton (Sweden)	biparental
HAJIRA	UNNAMED5410	UNNAMED5410	biparental
HANCOCK	MARKTON	RAINBOW	biparental
HARMON	OT604	RODNEY|PI290100	biparental
HARMON_HAM	OT207	UNNAMED5335	biparental
HAWKEYE	RICHLAND|CIAV787	GREEN_RUSSIAN|CIAV4684	biparental
HAYDEN			
