PLANTING.ORDER,BOX,PASS,RANGE,UNIQUE,trial,field,gid,plot,PACKING.ORDER,line01,line02,line03
79,BOX-14_1,PASS_14,RANGE_6,FILL-M461-23_Urb_FB_32,FILL-M461-23,Urb,FB,32,32,SO: 79 id: FB,32;P:14-R:6,Urb_FILL-23
80,BOX-14_2,PASS_14,RANGE_5,iCrop-UIUC-23_M461_IL15-5752xMaxum_413,iCrop-UIUC-23,M461,IL15-5752xMaxum,413,91,SO: 80 id: IL15-5752xMaxum,91;P:14-R:5,M461_iCrop-UIUC-23
81,BOX-14_3,PASS_14,RANGE_4,iCrop-UIUC-23_M461_LEGGETTxFrostmaster_313,iCrop-UIUC-23,M461,LEGGETTxFrostmaster,313,104,SO: 81 id: LEGGETTxFrostmaster,104;P:14-R:4,M461_iCrop-UIUC-23
82,BOX-14_4,PASS_14,RANGE_3,iCrop-UIUC-23_M461_LEGGETTxND Dawn_213,iCrop-UIUC-23,M461,LEGGETTxND Dawn,213,105,SO: 82 id: LEGGETTxND Dawn,105;P:14-R:3,M461_iCrop-UIUC-23
83,BOX-14_5,PASS_14,RANGE_2,iCrop-UIUC-23_M461_SABERxNDP150231Y_113,iCrop-UIUC-23,M461,SABERxNDP150231Y,113,133,SO: 83 id: SABERxNDP150231Y,133;P:14-R:2,M461_iCrop-UIUC-23
84,BOX-14_6,PASS_14,RANGE_1,FILL-M461-23_Urb_FB_31,FILL-M461-23,Urb,FB,31,31,SO: 84 id: FB,31;P:14-R:1,Urb_FILL-23
85,BOX-15_1,PASS_15,RANGE_1,FILL-M461-23_Urb_FB_33,FILL-M461-23,Urb,FB,33,33,SO: 85 id: FB,33;P:15-R:1,Urb_FILL-23
86,BOX-15_2,PASS_15,RANGE_2,iCrop-UIUC-23_M461_SD190850xNDP140510Y_114,iCrop-UIUC-23,M461,SD190850xNDP140510Y,114,148,SO: 86 id: SD190850xNDP140510Y,148;P:15-R:2,M461_iCrop-UIUC-23
87,BOX-15_3,PASS_15,RANGE_3,iCrop-UIUC-23_M461_HORSEPOWERxMaxum_212,iCrop-UIUC-23,M461,HORSEPOWERxMaxum,212,89,SO: 87 id: HORSEPOWERxMaxum,89;P:15-R:3,M461_iCrop-UIUC-23
88,BOX-15_4,PASS_15,RANGE_4,iCrop-UIUC-23_M461_NEWBURGxND Victory_314,iCrop-UIUC-23,M461,NEWBURGxND Victory,314,120,SO: 88 id: NEWBURGxND Victory,120;P:15-R:4,M461_iCrop-UIUC-23
89,BOX-15_5,PASS_15,RANGE_5,iCrop-UIUC-23_M461_IL17-1704xND Victory_412,iCrop-UIUC-23,M461,IL17-1704xND Victory,412,97,SO: 89 id: IL17-1704xND Victory,97;P:15-R:5,M461_iCrop-UIUC-23
90,BOX-15_6,PASS_15,RANGE_6,FILL-M461-23_Urb_FB_34,FILL-M461-23,Urb,FB,34,34,SO: 90 id: FB,34;P:15-R:6,Urb_FILL-23
91,BOX-16_1,PASS_16,RANGE_6,FILL-M461-23_Urb_FB_36,FILL-M461-23,Urb,FB,36,36,SO: 91 id: FB,36;P:16-R:6,Urb_FILL-23
92,BOX-16_2,PASS_16,RANGE_5,iCrop-UIUC-23_M461_ND161488xIcicle Winter_411,iCrop-UIUC-23,M461,ND161488xIcicle Winter,411,113,SO: 92 id: ND161488xIcicle Winter,113;P:16-R:5,M461_iCrop-UIUC-23
93,BOX-16_3,PASS_16,RANGE_4,iCrop-UIUC-23_M461_SD181245xMaxum_315,iCrop-UIUC-23,M461,SD181245xMaxum,315,144,SO: 93 id: SD181245xMaxum,144;P:16-R:4,M461_iCrop-UIUC-23
94,BOX-16_4,PASS_16,RANGE_3,iCrop-UIUC-23_M461_SD170935xAUSTRIAN FIELD_211,iCrop-UIUC-23,M461,SD170935xAUSTRIAN FIELD,211,136,SO: 94 id: SD170935xAUSTRIAN FIELD,136;P:16-R:3,M461_iCrop-UIUC-23
95,BOX-16_5,PASS_16,RANGE_2,iCrop-UIUC-23_M461_IL17-7339xdelta field_115,iCrop-UIUC-23,M461,IL17-7339xdelta field,115,102,SO: 95 id: IL17-7339xdelta field,102;P:16-R:2,M461_iCrop-UIUC-23
96,BOX-16_6,PASS_16,RANGE_1,FILL-M461-23_Urb_FB_35,FILL-M461-23,Urb,FB,35,35,SO: 96 id: FB,35;P:16-R:1,Urb_FILL-23
97,BOX-17_1,PASS_17,RANGE_1,FILL-M461-23_Urb_FB_37,FILL-M461-23,Urb,FB,37,37,SO: 97 id: FB,37;P:17-R:1,Urb_FILL-23
98,BOX-17_2,PASS_17,RANGE_2,iCrop-UIUC-23_M461_SD181245xAUSTRIAN FIELD_116,iCrop-UIUC-23,M461,SD181245xAUSTRIAN FIELD,116,142,SO: 98 id: SD181245xAUSTRIAN FIELD,142;P:17-R:2,M461_iCrop-UIUC-23
99,BOX-17_3,PASS_17,RANGE_3,iCrop-UIUC-23_M461_SD190850xND Dawn_210,iCrop-UIUC-23,M461,SD190850xND Dawn,210,147,SO: 99 id: SD190850xND Dawn,147;P:17-R:3,M461_iCrop-UIUC-23
100,BOX-17_4,PASS_17,RANGE_4,iCrop-UIUC-23_M461_IL17-1704xIcicle Winter_316,iCrop-UIUC-23,M461,IL17-1704xIcicle Winter,316,96,SO: 100 id: IL17-1704xIcicle Winter,96;P:17-R:4,M461_iCrop-UIUC-23
101,BOX-17_5,PASS_17,RANGE_5,iCrop-UIUC-23_M461_A11xFrostmaster_410,iCrop-UIUC-23,M461,A11xFrostmaster,410,65,SO: 101 id: A11xFrostmaster,65;P:17-R:5,M461_iCrop-UIUC-23
102,BOX-17_6,PASS_17,RANGE_6,FILL-M461-23_Urb_FB_38,FILL-M461-23,Urb,FB,38,38,SO: 102 id: FB,38;P:17-R:6,Urb_FILL-23
103,BOX-18_1,PASS_18,RANGE_6,FILL-M461-23_Urb_FB_40,FILL-M461-23,Urb,FB,40,40,SO: 103 id: FB,40;P:18-R:6,Urb_FILL-23
104,BOX-18_2,PASS_18,RANGE_5,iCrop-UIUC-23_M461_BAKERxNDP150412G_409,iCrop-UIUC-23,M461,BAKERxNDP150412G,409,70,SO: 104 id: BAKERxNDP150412G,70;P:18-R:5,M461_iCrop-UIUC-23
105,BOX-18_3,PASS_18,RANGE_4,iCrop-UIUC-23_M461_WARRIORxNDP150231Y_317,iCrop-UIUC-23,M461,WARRIORxNDP150231Y,317,156,SO: 105 id: WARRIORxNDP150231Y,156;P:18-R:4,M461_iCrop-UIUC-23
106,BOX-18_4,PASS_18,RANGE_3,iCrop-UIUC-23_M461_BAKERxNDP150231Y_209,iCrop-UIUC-23,M461,BAKERxNDP150231Y,209,69,SO: 106 id: BAKERxNDP150231Y,69;P:18-R:3,M461_iCrop-UIUC-23
107,BOX-18_5,PASS_18,RANGE_2,iCrop-UIUC-23_M461_COLTxMaxum_117,iCrop-UIUC-23,M461,COLTxMaxum,117,74,SO: 107 id: COLTxMaxum,74;P:18-R:2,M461_iCrop-UIUC-23
108,BOX-18_6,PASS_18,RANGE_1,FILL-M461-23_Urb_FB_39,FILL-M461-23,Urb,FB,39,39,SO: 108 id: FB,39;P:18-R:1,Urb_FILL-23
109,BOX-19_1,PASS_19,RANGE_1,FILL-M461-23_Urb_FB_41,FILL-M461-23,Urb,FB,41,41,SO: 109 id: FB,41;P:19-R:1,Urb_FILL-23
110,BOX-19_2,PASS_19,RANGE_2,iCrop-UIUC-23_M461_SD181377xND Dawn_118,iCrop-UIUC-23,M461,SD181377xND Dawn,118,146,SO: 110 id: SD181377xND Dawn,146;P:19-R:2,M461_iCrop-UIUC-23
111,BOX-19_3,PASS_19,RANGE_3,iCrop-UIUC-23_M461_IL17-5238xNDP150412G_208,iCrop-UIUC-23,M461,IL17-5238xNDP150412G,208,99,SO: 111 id: IL17-5238xNDP150412G,99;P:19-R:3,M461_iCrop-UIUC-23
112,BOX-19_4,PASS_19,RANGE_4,iCrop-UIUC-23_M461_COLTxFrostmaster_318,iCrop-UIUC-23,M461,COLTxFrostmaster,318,73,SO: 112 id: COLTxFrostmaster,73;P:19-R:4,M461_iCrop-UIUC-23
113,BOX-19_5,PASS_19,RANGE_5,iCrop-UIUC-23_M461_WI-X10710-7xdelta field_408,iCrop-UIUC-23,M461,WI-X10710-7xdelta field,408,161,SO: 113 id: WI-X10710-7xdelta field,161;P:19-R:5,M461_iCrop-UIUC-23
114,BOX-19_6,PASS_19,RANGE_6,FILL-M461-23_Urb_FB_42,FILL-M461-23,Urb,FB,42,42,SO: 114 id: FB,42;P:19-R:6,Urb_FILL-23
115,BOX-20_1,PASS_20,RANGE_6,FILL-M461-23_Urb_FB_44,FILL-M461-23,Urb,FB,44,44,SO: 115 id: FB,44;P:20-R:6,Urb_FILL-23
116,BOX-20_2,PASS_20,RANGE_5,iCrop-UIUC-23_M461_OT3120xNDP140510Y_407,iCrop-UIUC-23,M461,OT3120xNDP140510Y,407,127,SO: 116 id: OT3120xNDP140510Y,127;P:20-R:5,M461_iCrop-UIUC-23
117,BOX-20_3,PASS_20,RANGE_4,iCrop-UIUC-23_M461_HAYDENxAUSTRIAN FIELD_319,iCrop-UIUC-23,M461,HAYDENxAUSTRIAN FIELD,319,87,SO: 117 id: HAYDENxAUSTRIAN FIELD,87;P:20-R:4,M461_iCrop-UIUC-23
118,BOX-20_4,PASS_20,RANGE_3,iCrop-UIUC-23_M461_OT3120xDS Admiral_207,iCrop-UIUC-23,M461,OT3120xDS Admiral,207,126,SO: 118 id: OT3120xDS Admiral,126;P:20-R:3,M461_iCrop-UIUC-23
119,BOX-20_5,PASS_20,RANGE_2,iCrop-UIUC-23_M461_SD180580xNDP150231Y_119,iCrop-UIUC-23,M461,SD180580xNDP150231Y,119,138,SO: 119 id: SD180580xNDP150231Y,138;P:20-R:2,M461_iCrop-UIUC-23
120,BOX-20_6,PASS_20,RANGE_1,FILL-M461-23_Urb_FB_43,FILL-M461-23,Urb,FB,43,43,SO: 120 id: FB,43;P:20-R:1,Urb_FILL-23
121,BOX-21_1,PASS_21,RANGE_1,FILL-M461-23_Urb_FB_45,FILL-M461-23,Urb,FB,45,45,SO: 121 id: FB,45;P:21-R:1,Urb_FILL-23
122,BOX-21_2,PASS_21,RANGE_2,iCrop-UIUC-23_M461_DEONxFrostmaster_120,iCrop-UIUC-23,M461,DEONxFrostmaster,120,77,SO: 122 id: DEONxFrostmaster,77;P:21-R:2,M461_iCrop-UIUC-23
